source_code	source_code_description	length
B4158	"Enteral formula, for pediatrics, nutritionally complete with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit"	240
B4159	"Enteral formula, for pediatrics, nutritionally complete soy based with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber and/or iron, administered through an enteral feeding tube, 100 calories = 1 unit"	250
B4160	"Enteral formula, for pediatrics, nutritionally complete calorically dense (equal to or greater than 0.7 kcal/ml) with intact nutrients, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"	285
B4161	"Enteral formula, for pediatrics, hydrolyzed/amino acids and peptide chain proteins, includes fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"	223
B4162	"Enteral formula, for pediatrics, special metabolic needs for inherited disease of metabolism, includes proteins, fats, carbohydrates, vitamins and minerals, may include fiber, administered through an enteral feeding tube, 100 calories = 1 unit"	243
B4164	"Parenteral nutrition solution:  carbohydrates (dextrose), 50% or less (500 ml = 1 unit) - homemix"	97
B4168	"Parenteral nutrition solution; amino acid, 3.5%, (500 ml = 1 unit) - homemix"	76
B4172	"Parenteral nutrition solution; amino acid, 5.5% through 7%, (500 ml = 1 unit) - homemix"	87
B4176	"Parenteral nutrition solution; amino acid, 7% through 8.5%, (500 ml = 1 unit) - homemix"	87
B4178	"Parenteral nutrition solution: amino acid, greater than 8.5% (500 ml = 1 unit) - homemix"	88
B4180	"Parenteral nutrition solution; carbohydrates (dextrose), greater than 50% (500 ml=1 unit) - homemix"	99
B4185	"Parenteral nutrition solution, per 10 grams lipids"	50
B4189	"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 10 to 51 grams of protein - premix"	191
B4193	"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, 52 to 73 grams of protein - premix"	191
B4197	"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, 74 to 100 grams of protein - premix"	191
B4199	"Parenteral nutrition solution; compounded amino acid and carbohydrates with electrolytes, trace elements and vitamins, including preparation, any strength, over 100 grams of protein - premix"	190
B4216	"Parenteral nutrition; additives (vitamins, trace elements, heparin, electrolytes) homemix per day"	97
B4220	"Parenteral nutrition supply kit; premix, per day"	48
B4222	"Parenteral nutrition supply kit; home mix, per day"	50
B4224	"Parenteral nutrition administration kit, per day"	48
B5000	"Parenteral nutrition solution:  compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, renal - amirosyn rf, nephramine, renamine - premix"	208
B5100	"Parenteral nutrition solution: compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, hepatic - freamine hbc, hepatamine - premix"	200
B5200	"Parenteral nutrition solution:  compounded amino acid and carbohydrates with electrolytes, trace elements, and vitamins, including preparation, any strength, stress - branch chain amino acids - premix"	200
B9000	Enteral nutrition infusion pump - without alarm	47
B9002	Enteral nutrition infusion pump - with alarm	44
B9004	"Parenteral nutrition infusion pump, portable"	44
B9006	"Parenteral nutrition infusion pump, stationary"	46
B9998	Noc for enteral supplies	24
B9999	Noc for parenteral supplies	27
C1204	"Technetium tc 99m tilmanocept, diagnostic, up to 0.5 millicuries"	64
C1300	"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval"	75
C1713	Anchor/screw for opposing bone-to-bone or soft tissue-to-bone (implantable)	75
C1714	"Catheter, transluminal atherectomy, directional"	47
C1715	Brachytherapy needle	20
C1716	"Brachytherapy source, non-stranded, gold-198, per source"	56
C1717	"Brachytherapy source, non-stranded, high dose rate iridium-192, per source"	74
C1719	"Brachytherapy source, non-stranded, non-high dose rate iridium-192, per source"	78
C1721	"Cardioverter-defibrillator, dual chamber (implantable)"	54
C1722	"Cardioverter-defibrillator, single chamber (implantable)"	56
C1724	"Catheter, transluminal atherectomy, rotational"	46
C1725	"Catheter, transluminal angioplasty, non-laser (may include guidance, infusion/perfusion capability)"	99
C1726	"Catheter, balloon dilatation, non-vascular"	42
C1727	"Catheter, balloon tissue dissector, non-vascular (insertable)"	61
C1728	"Catheter, brachytherapy seed administration"	43
C1729	"Catheter, drainage"	18
C1730	"Catheter, electrophysiology, diagnostic, other than 3d mapping (19 or fewer electrodes)"	87
C1731	"Catheter, electrophysiology, diagnostic, other than 3d mapping (20 or more electrodes)"	86
C1732	"Catheter, electrophysiology, diagnostic/ablation, 3d or vector mapping"	70
C1733	"Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector mapping, other than cool-tip"	102
C1749	"Endoscope, retrograde imaging/illumination colonoscope device (implantable)"	75
C1750	"Catheter, hemodialysis/peritoneal, long-term"	44
C1751	"Catheter, infusion, inserted peripherally, centrally or midline (other than hemodialysis)"	89
C1752	"Catheter, hemodialysis/peritoneal, short-term"	45
C1753	"Catheter, intravascular ultrasound"	34
C1754	"Catheter, intradiscal"	21
C1755	"Catheter, intraspinal"	21
C1756	"Catheter, pacing, transesophageal"	33
C1757	"Catheter, thrombectomy/embolectomy"	34
C1758	"Catheter, ureteral"	18
C1759	"Catheter, intracardiac echocardiography"	39
C1760	"Closure device, vascular (implantable/insertable)"	49
C1762	"Connective tissue, human (includes fascia lata)"	47
C1763	"Connective tissue, non-human (includes synthetic)"	49
C1764	"Event recorder, cardiac (implantable)"	37
C1765	Adhesion barrier	16
C1766	"Introducer/sheath, guiding, intracardiac electrophysiological, steerable, other than peel-away"	94
C1767	"Generator, neurostimulator (implantable), non-rechargeable"	58
C1768	"Graft, vascular"	15
C1769	Guide wire	10
C1770	"Imaging coil, magnetic resonance (insertable)"	45
C1771	"Repair device, urinary, incontinence, with sling graft"	54
C1772	"Infusion pump, programmable (implantable)"	41
C1773	"Retrieval device, insertable (used to retrieve fractured medical devices)"	73
C1776	Joint device (implantable)	26
C1777	"Lead, cardioverter-defibrillator, endocardial single coil (implantable)"	71
C1778	"Lead, neurostimulator (implantable)"	35
C1779	"Lead, pacemaker, transvenous vdd single pass"	44
C1780	"Lens, intraocular (new technology)"	34
C1781	Mesh (implantable)	18
C1782	Morcellator	11
C1783	"Ocular implant, aqueous drainage assist device"	46
C1784	"Ocular device, intraoperative, detached retina"	46
C1785	"Pacemaker, dual chamber, rate-responsive (implantable)"	54
C1786	"Pacemaker, single chamber, rate-responsive (implantable)"	56
C1787	"Patient programmer, neurostimulator"	35
C1788	"Port, indwelling (implantable)"	30
C1789	"Prosthesis, breast (implantable)"	32
C1813	"Prosthesis, penile, inflatable"	30
C1814	"Retinal tamponade device, silicone oil"	38
C1815	"Prosthesis, urinary sphincter (implantable)"	43
C1816	"Receiver and/or transmitter, neurostimulator (implantable)"	58
C1817	"Septal defect implant system, intracardiac"	42
C1818	Integrated keratoprosthesis	27
C1819	Surgical tissue localization and excision device (implantable)	62
C1820	"Generator, neurostimulator (implantable), with rechargeable battery and charging system"	87
C1821	Interspinous process distraction device (implantable)	53
C1830	Powered bone marrow biopsy needle	33
C1840	"Lens, intraocular (telescopic)"	30
C1841	"Retinal prosthesis, includes all internal and external components"	65
C1874	"Stent, coated/covered, with delivery system"	43
C1875	"Stent, coated/covered, without delivery system"	46
C1876	"Stent, non-coated/non-covered, with delivery system"	51
C1877	"Stent, non-coated/non-covered, without delivery system"	54
C1878	"Material for vocal cord medialization, synthetic (implantable)"	62
C1879	Tissue marker (implantable)	27
C1880	Vena cava filter	16
C1881	Dialysis access system (implantable)	36
C1882	"Cardioverter-defibrillator, other than single or dual chamber (implantable)"	75
C1883	"Adaptor/extension, pacing lead or neurostimulator lead (implantable)"	68
C1884	Embolization protective system	30
C1885	"Catheter, transluminal angioplasty, laser"	41
C1886	"Catheter, extravascular tissue ablation, any modality (insertable)"	66
C1887	"Catheter, guiding (may include infusion/perfusion capability)"	61
C1888	"Catheter, ablation, non-cardiac, endovascular (implantable)"	59
C1891	"Infusion pump, non-programmable, permanent (implantable)"	56
C1892	"Introducer/sheath, guiding, intracardiac electrophysiological, fixed-curve, peel-away"	85
C1893	"Introducer/sheath, guiding, intracardiac electrophysiological, fixed-curve, other than peel-away"	96
C1894	"Introducer/sheath, other than guiding, other than intracardiac   electrophysiological, non-laser"	96
C1895	"Lead, cardioverter-defibrillator, endocardial dual coil (implantable)"	69
C1896	"Lead, cardioverter-defibrillator, other than endocardial single or dual coil (implantable)"	90
C1897	"Lead, neurostimulator test kit (implantable)"	44
C1898	"Lead, pacemaker, other than transvenous vdd single pass"	55
C1899	"Lead, pacemaker/cardioverter-defibrillator combination (implantable)"	68
C1900	"Lead, left ventricular coronary venous system"	45
C2614	"Probe, percutaneous lumbar discectomy"	37
C2615	"Sealant, pulmonary, liquid"	26
C2616	"Brachytherapy source, non-stranded, yttrium-90, per source"	58
C2617	"Stent, non-coronary, temporary, without delivery system"	55
C2618	"Probe/needle, cryoablation"	26
C2619	"Pacemaker, dual chamber, non rate-responsive (implantable)"	58
C2620	"Pacemaker, single chamber, non rate-responsive (implantable)"	60
C2621	"Pacemaker, other than single or dual chamber (implantable)"	58
C2622	"Prosthesis, penile, non-inflatable"	34
C2625	"Stent, non-coronary, temporary, with delivery system"	52
C2626	"Infusion pump, non-programmable, temporary (implantable)"	56
C2627	"Catheter, suprapubic/cystoscopic"	32
C2628	"Catheter, occlusion"	19
C2629	"Introducer/sheath, other than guiding, other than intracardiac electrophysiological, laser"	90
C2630	"Catheter, electrophysiology, diagnostic/ablation, other than 3d or vector mapping, cool-tip"	91
C2631	"Repair device, urinary, incontinence, without sling graft"	57
C2634	"Brachytherapy source, non-stranded, high activity, iodine-125, greater than 1.01 mci (nist), per source"	103
C2635	"Brachytherapy source, non-stranded, high activity, paladium-103, greater than 2.2 mci (nist), per source"	104
C2636	"Brachytherapy linear source, non-stranded, paladium-103, per 1 mm"	65
C2637	"Brachytherapy source, non-stranded, ytterbium-169, per source"	61
C2638	"Brachytherapy source, stranded, iodine-125, per source"	54
C2639	"Brachytherapy source, non-stranded, iodine-125, per source"	58
C2640	"Brachytherapy source, stranded, palladium-103, per source"	57
C2641	"Brachytherapy source, non-stranded, palladium-103, per source"	61
C2642	"Brachytherapy source, stranded, cesium-131, per source"	54
C2643	"Brachytherapy source, non-stranded, cesium-131, per source"	58
C2698	"Brachytherapy source, stranded, not otherwise specified, per source"	67
C2699	"Brachytherapy source, non-stranded, not otherwise specified, per source"	71
C5271	"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"	151
C5272	"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"	230
C5273	"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"	207
C5274	"Application of low cost skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"	327
C5275	"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"	229
C5276	"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (list separately in addition to code for primary procedure)"	308
C5277	"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"	285
C5278	"Application of low cost skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part thereof (list separately in addition to code for primary procedure)"	405
C8900	"Magnetic resonance angiography with contrast, abdomen"	53
C8901	"Magnetic resonance angiography without contrast, abdomen"	56
C8902	"Magnetic resonance angiography without contrast followed by with contrast, abdomen"	82
C8903	"Magnetic resonance imaging with contrast, breast; unilateral"	60
C8904	"Magnetic resonance imaging without contrast, breast; unilateral"	63
C8905	"Magnetic resonance imaging without contrast followed by with contrast, breast; unilateral"	89
C8906	"Magnetic resonance imaging with contrast, breast; bilateral"	59
C8907	"Magnetic resonance imaging without contrast, breast; bilateral"	62
C8908	"Magnetic resonance imaging without contrast followed by with contrast, breast; bilateral"	88
C8909	"Magnetic resonance angiography with contrast, chest (excluding myocardium)"	74
C8910	"Magnetic resonance angiography without contrast, chest (excluding myocardium)"	77
C8911	"Magnetic resonance angiography without contrast followed by with contrast, chest (excluding myocardium)"	103
C8912	"Magnetic resonance angiography with contrast, lower extremity"	61
C8913	"Magnetic resonance angiography without contrast, lower extremity"	64
C8914	"Magnetic resonance angiography without contrast followed by with contrast, lower extremity"	90
C8918	"Magnetic resonance angiography with contrast, pelvis"	52
C8919	"Magnetic resonance angiography without contrast, pelvis"	55
C8920	"Magnetic resonance angiography without contrast followed by with contrast, pelvis"	81
C8921	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; complete"	135
C8922	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; follow-up or limited study"	153
C8923	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, without spectral or color doppler echocardiography"	237
C8924	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, follow-up or limited study"	203
C8925	"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, real time with image documentation (2d) (with or without m-mode recording); including probe placement, image acquisition, interpretation and report"	248
C8926	"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for congenital cardiac anomalies; including probe placement, image acquisition, interpretation and report"	206
C8927	"Transesophageal echocardiography (tee) with contrast, or without contrast followed by with contrast, for monitoring purposes, including probe placement, real time 2-dimensional image acquisition and interpretation leading to ongoing (continuous) assessment of (dynamically changing) cardiac pumping function and to therapeutic measures on an immediate time basis"	362
C8928	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report"	325
C8929	"Transthoracic echocardiography with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, complete, with spectral doppler echocardiography, and with color flow doppler echocardiography"	271
C8930	"Transthoracic echocardiography, with contrast, or without contrast followed by with contrast, real-time with image documentation (2d), includes m-mode recording, when performed, during rest and cardiovascular stress test using treadmill, bicycle exercise and/or pharmacologically induced stress, with interpretation and report; including performance of continuous electrocardiographic monitoring, with physician supervision"	423
C8931	"Magnetic resonance angiography with contrast, spinal canal and contents"	71
C8932	"Magnetic resonance angiography without contrast, spinal canal and contents"	74
C8933	"Magnetic resonance angiography without contrast followed by with contrast, spinal canal and contents"	100
C8934	"Magnetic resonance angiography with contrast, upper extremity"	61
C8935	"Magnetic resonance angiography without contrast, upper extremity"	64
C8936	"Magnetic resonance angiography without contrast followed by with contrast, upper extremity"	90
C8957	"Intravenous infusion for therapy/diagnosis; initiation of prolonged infusion (more than 8 hours), requiring use of portable or implantable pump"	143
C9113	"Injection, pantoprazole sodium, per vial"	40
C9121	"Injection, argatroban, per 5 mg"	31
C9130	"Injection, immune globulin (bivigam), 500 mg"	44
C9131	"Injection, ado-trastuzumab emtansine, 1 mg"	42
C9132	"Prothrombin complex concentrate (human), kcentra, per i.u. of factor ix activity"	80
C9133	"Factor ix (antihemophilic factor, recombinant), rixibus, per i.u."	65
C9248	"Injection, clevidipine butyrate, 1 mg"	37
C9250	"Human plasma fibrin sealant, vapor-heated, solvent-detergent (artiss), 2ml"	74
C9254	"Injection, lacosamide, 1 mg"	27
C9255	"Injection, paliperidone palmitate, 1 mg"	39
C9256	"Injection, dexamethasone intravitreal implant, 0.1 mg"	53
C9257	"Injection, bevacizumab, 0.25 mg"	31
C9258	"Injection, telavancin, 10 mg"	28
C9259	"Injection, pralatrexate, 1 mg"	29
C9260	"Injection, ofatumumab, 10 mg"	28
C9261	"Injection, ustekinumab, 1 mg"	28
C9262	"Fludarabine phosphate, oral, 1 mg"	33
C9263	"Injection, ecallantide, 1 mg"	28
C9264	"Injection, tocilizumab, 1 mg"	28
C9265	"Injection, romidepsin, 1 mg"	27
C9266	"Injection, collagenase clostridium histolyticum, 0.1 mg"	55
C9267	"Injection, von willebrand factor complex (human), wilate, per 100 iu vwf: rco"	77
C9268	"Capsaicin, patch, 10cm2"	23
C9269	"Injection, c-1 esterase inhibitor (human), berinert, 10 units"	61
C9270	"Injection, immune globulin (gammaplex), intravenous, non-lyophilized (e.g. liquid), 500 mg"	90
C9271	"Injection, velaglucerase alfa, 100 units"	40
C9272	"Injection, denosumab, 1 mg"	26
C9273	"Sipuleucel-t, minimum of 50 million autologous cd54+ cells activated with pap-gm-csf, including leukapheresis and all other preparatory procedures, per infusion"	160
C9274	"Crotalidae polyvalent immune fab (ovine), 1 vial"	48
C9275	"Injection, hexaminolevulinate hydrochloride, 100 mg, per study dose"	67
C9276	"Injection, cabazitaxel, 1 mg"	28
C9277	"Injection, alglucosidase alfa (lumizyme), 1 mg"	46
C9278	"Injection, incobotulinumtoxin a, 1 unit"	39
C9279	"Injection, ibuprofen, 100 mg"	28
C9280	"Injection, eribulin mesylate, 1 mg"	34
C9281	"Injection, pegloticase, 1 mg"	28
C9282	"Injection, ceftaroline fosamil, 10 mg"	37
C9283	"Injection, acetaminophen, 10 mg"	31
C9284	"Injection, ipilimumab, 1 mg"	27
C9285	"Lidocaine 70 mg/tetracaine 70 mg, per patch"	43
C9286	"Injection, belatacept, 1 mg"	27
C9287	"Injection, brentuximab vedotin, 1 mg"	36
C9288	"Injection, centruroides (scorpion) immune f(ab)2 (equine), 1 vial"	65
C9289	"Injection, asparaginase erwinia chrysanthemi, 1,000 international units (i.u.)"	78
C9290	"Injection, bupivacaine liposome, 1 mg"	37
C9291	"Injection, aflibercept, 2 mg vial"	33
C9292	"Injection, pertuzumab, 10 mg"	28
C9293	"Injection, glucarpidase, 10 units"	33
C9294	"Injection, taliglucerase alfa, 10 units"	39
C9295	"Injection, carfilzomib, 1 mg"	28
C9296	"Injection, ziv-aflibercept, 1 mg"	32
C9297	"Injection, omacetaxine mepesuccinate, 0.01 mg"	45
C9298	"Injection, ocriplasmin, 0.125 mg"	32
C9352	"Microporous collagen implantable tube (neuragen nerve guide), per centimeter length"	83
C9353	"Microporous collagen implantable slit tube (neurawrap nerve protector), per centimeter length"	93
C9354	"Acellular pericardial tissue matrix of non-human origin (veritas), per square centimeter"	88
C9355	"Collagen nerve cuff (neuromatrix), per 0.5 centimeter length"	60
C9356	"Tendon, porous matrix of cross-linked collagen and glycosaminoglycan matrix  (tenoglide tendon protector sheet), per square centimeter"	134
C9358	"Dermal substitute, native, non-denatured collagen, fetal bovine origin (surgimend collagen matrix), per 0.5 square centimeters"	126
C9359	"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold putty, integra os osteoconductive scaffold putty), per 0.5 cc"	151
C9360	"Dermal substitute, native, non-denatured collagen, neonatal bovine origin (surgimend collagen matrix), per 0.5 square centimeters"	129
C9361	"Collagen matrix nerve wrap (neuromend collagen nerve wrap), per 0.5 centimeter length"	85
C9362	"Porous purified collagen matrix bone void filler (integra mozaik osteoconductive scaffold strip), per 0.5 cc"	108
C9363	"Skin substitute, integra meshed bilayer wound matrix, per square centimeter"	75
C9364	"Porcine implant, permacol, per square centimeter"	48
C9365	"Oasis ultra tri-layer matrix, per square centimeter"	51
C9366	"Epifix, per square centimeter"	29
C9367	"Skin substitute, endoform dermal template, per square centimeter"	64
C9368	"Grafix core, per square centimeter"	34
C9369	"Grafix prime, per square centimeter"	35
C9399	Unclassified drugs or biologicals	33
C9406	"Iodine i-123 ioflupane, diagnostic, per study dose, up to 5 millicuries"	71
C9441	"Injection, ferric carboxymaltose, 1 mg"	38
C9497	"Loxapine, inhalation powder, 10 mg"	34
C9600	"Percutaneous transcatheter placement of drug eluting intracoronary stent(s), with coronary angioplasty when performed; single major coronary artery or branch"	157
C9601	"Percutaneous transcatheter placement of drug-eluting intracoronary stent(s), with coronary angioplasty when performed;  each additional branch of a major coronary artery (list separately in addition to code for primary procedure)"	229
C9602	"Percutaneous transluminal coronary atherectomy, with drug eluting intracoronary stent, with coronary angioplasty when performed; single major coronary artery or branch"	167
C9603	"Percutaneous transluminal coronary atherectomy, with drug-eluting intracoronary stent, with coronary angioplasty when performed; each additional branch of a major coronary artery (list separately in addition to code for primary procedure)"	238
C9604	"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed; single vessel"	269
C9605	"Percutaneous transluminal revascularization of or through coronary artery bypass graft (internal mammary, free arterial, venous), any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including distal protection when performed;  each additional branch subtended by the bypass graft (list separately in addition to code for primary procedure)"	369
C9606	"Percutaneous transluminal revascularization of acute total/subtotal occlusion during acute myocardial infarction, coronary artery or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty, including aspiration thrombectomy when performed, single vessel"	308
C9607	"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty; single vessel"	241
C9608	"Percutaneous transluminal revascularization of chronic total occlusion, coronary artery, coronary artery branch, or coronary artery bypass graft, any combination of drug-eluting intracoronary stent, atherectomy and angioplasty;  each additional coronary artery, coronary artery branch, or bypass graft (list separately in addition to code for primary procedure)"	361
C9716	Creations of thermal anal lesions by radiofrequency energy	58
C9724	Endoscopic full-thickness plication of the stomach using endoscopic plication system (eps); includes endoscopy	110
C9725	Placement of endorectal intracavitary applicator for high intensity brachytherapy	81
C9726	"Placement and removal (if performed) of applicator into breast for intraoperative radiation therapy, add-on to primary breast procedure"	135
C9727	Insertion of implants into the soft palate; minimum of three implants	69
C9728	"Placement of interstitial device(s) for radiation therapy/surgery guidance (eg, fiducial markers, dosimeter), for other than the following sites (any approach): abdomen, pelvis, prostate, retroperitoneum, thorax, single or multiple"	231
C9729	"Percutaneous laminotomy/laminectomy (intralaminar approach) for decompression of neural elements, (with ligamentous resection, discectomy, facetectomy and/or foraminotomy, when performed) any method under indirect image guidance, with the use of an endoscope when performed, single or multiple levels, unilateral or bilateral; lumbar"	333
C9730	"Bronchoscopic bronchial thermoplasty with imaging guidance (if performed), radiofrequency ablation of airway smooth muscle, 1 lobe"	130
C9731	"Bronchoscopic bronchial thermoplasty with imaging guidance (if performed), radiofrequency ablation of airway smooth muscle, 2 or more lobes"	139
C9732	Insertion of ocular telescope prosthesis including removal of crystalline lens	78
C9733	Non-ophthalmic fluorescent vascular angiography	47
C9734	"Focused ultrasound ablation/therapeutic intervention, other than uterine leiomyomata, with magnetic resonance (mr) guidance"	123
C9735	"Anoscopy; with directed submucosal injection(s), any substance"	62
C9736	"Laparoscopy, surgical, radiofrequency ablations of uterine fibroid(s), including intraoperative guidance and monitoring, when performed"	135
C9737	"Laparoscopy, surgical, esophageal sphincter augmentation with device (eg, magnetic band)"	88
C9800	"Dermal injection procedure(s) for facial lipodystrophy syndrome (lds) and provision of radiesse or sculptra dermal filler, including all items and supplies"	155
C9801	"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intermediate, greater than 3 minutes, up to 10 minutes"	131
C9802	"Smoking and tobacco cessation counseling visit for the asymptomatic patient; intensive, greater than 10 minutes"	111
C9898	Radiolabeled product provided during a hospital inpatient stay	62
C9899	"Implanted prosthetic device, payable only for inpatients who do not have inpatient coverage"	91
E0100	"Cane, includes canes of all materials, adjustable or fixed, with tip"	68
E0105	"Cane, quad or three prong, includes canes of all materials, adjustable or fixed, with tips"	90
E0110	"Crutches, forearm, includes crutches of various materials, adjustable or fixed, pair, complete with tips and handgrips"	118
E0111	"Crutch forearm, includes crutches of various materials, adjustable or fixed, each, with tip and handgrips"	105
E0112	"Crutches underarm, wood, adjustable or fixed, pair, with pads, tips and handgrips"	81
E0113	"Crutch underarm, wood, adjustable or fixed, each, with pad, tip and handgrip"	76
E0114	"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips"	92
E0116	"Crutch, underarm, other than wood, adjustable or fixed, with pad, tip, handgrip, with or without shock absorber, each"	117
E0117	"Crutch, underarm, articulating, spring assisted, each"	53
E0118	"Crutch substitute, lower leg platform, with or without wheels, each"	67
E0130	"Walker, rigid (pickup), adjustable or fixed height"	50
E0135	"Walker, folding (pickup), adjustable or fixed height"	52
E0140	"Walker, with trunk support, adjustable or fixed height, any type"	64
E0141	"Walker, rigid, wheeled, adjustable or fixed height"	50
E0143	"Walker, folding, wheeled, adjustable or fixed height"	52
E0144	"Walker, enclosed, four sided framed, rigid or folding, wheeled with posterior seat"	82
E0147	"Walker, heavy duty, multiple braking system, variable wheel resistance"	70
E0148	"Walker, heavy duty, without wheels, rigid or folding, any type, each"	68
E0149	"Walker, heavy duty, wheeled, rigid or folding, any type"	55
E0153	"Platform attachment, forearm crutch, each"	41
E0154	"Platform attachment, walker, each"	33
E0155	"Wheel attachment, rigid pick-up walker, per pair"	48
E0156	"Seat attachment, walker"	23
E0157	"Crutch attachment, walker, each"	31
E0158	"Leg extensions for walker, per set of four (4)"	46
E0159	"Brake attachment for wheeled walker, replacement, each"	54
E0160	"Sitz type bath or equipment, portable, used with or without commode"	67
E0161	"Sitz type bath or equipment, portable, used with or without commode, with faucet attachment/s"	93
E0162	Sitz bath chair	15
E0163	"Commode chair, mobile or stationary, with fixed arms"	52
E0165	"Commode chair, mobile or stationary, with detachable arms"	57
E0167	"Pail or pan for use with commode chair, replacement only"	56
E0168	"Commode chair, extra wide and/or heavy duty, stationary or mobile, with or without arms, any type, each"	103
E0170	"Commode chair with integrated seat lift mechanism, electric, any type"	69
E0171	"Commode chair with integrated seat lift mechanism, non-electric, any type"	73
E0172	"Seat lift mechanism placed over or on top of toilet, any type"	61
E0175	"Foot rest, for use with commode chair, each"	43
E0181	"Powered pressure reducing mattress overlay/pad, alternating, with pump, includes heavy duty"	91
E0182	"Pump for alternating pressure pad, for replacement only"	55
E0184	Dry pressure mattress	21
E0185	"Gel or gel-like pressure pad for mattress, standard mattress length and width"	77
E0186	Air pressure mattress	21
E0187	Water pressure mattress	23
E0188	Synthetic sheepskin pad	23
E0189	"Lambswool sheepskin pad, any size"	33
E0190	"Positioning cushion/pillow/wedge, any shape or size, includes all components and accessories"	92
E0191	"Heel or elbow protector, each"	29
E0193	Powered air flotation bed (low air loss therapy)	48
E0194	Air fluidized bed	17
E0196	Gel pressure mattress	21
E0197	"Air pressure pad for mattress, standard mattress length and width"	65
E0198	"Water pressure pad for mattress, standard mattress length and width"	67
E0199	"Dry pressure pad for mattress, standard mattress length and width"	65
E0200	"Heat lamp, without stand (table model), includes bulb, or infrared element"	74
E0202	Phototherapy (bilirubin) light with photometer	46
E0203	"Therapeutic lightbox, minimum 10,000 lux, table top model"	57
E0205	"Heat lamp, with stand, includes bulb, or infrared element"	57
E0210	"Electric heat pad, standard"	27
E0215	"Electric heat pad, moist"	24
E0217	Water circulating heat pad with pump	36
E0218	Water circulating cold pad with pump	36
E0220	Hot water bottle	16
