code	name	length
86648	Antibody; Diphtheria	20
86666	Antibody; Ehrlichia	19
86651	"Antibody; encephalitis, California (La Crosse)"	46
86652	"Antibody; encephalitis, Eastern equine"	38
86653	"Antibody; encephalitis, St. Louis"	33
86654	"Antibody; encephalitis, Western equine"	38
86658	"Antibody; enterovirus (eg, coxsackie, echo, polio)"	50
86663	"Antibody; Epstein-Barr (EB) virus, early antigen (EA)"	53
86664	"Antibody; Epstein-Barr (EB) virus, nuclear antigen (EBNA)"	57
86665	"Antibody; Epstein-Barr (EB) virus, viral capsid (VCA)"	53
86668	Antibody; Francisella Tularensis	32
86671	"Antibody; fungus, not elsewhere specified"	41
86674	Antibody; Giardia Lamblia	25
86677	Antibody; Helicobacter pylori	29
86682	"Antibody; helminth, not elsewhere specified"	43
86683	"Antibody; hemoglobin, fecal"	27
86684	Antibody; Hemophilus influenza	30
86692	"Antibody; hepatitis, delta agent"	32
86694	"Antibody; herpes simplex, non-specific type test"	48
86695	"Antibody; herpes simplex, type 1"	32
86696	"Antibody; herpes simplex, type 2"	32
86698	Antibody; histoplasma	21
86701	Antibody; HIV-1	15
86703	"Antibody; HIV-1 and HIV-2, single assay"	39
86702	Antibody; HIV-2	15
86689	"Antibody; HTLV or HIV antibody, confirmatory test (eg, Western Blot)"	68
86687	Antibody; HTLV-I	16
86688	Antibody; HTLV-II	17
86710	Antibody; influenza virus	25
86711	Antibody; JC (John Cunningham) virus	36
86713	Antibody; Legionella	20
86717	Antibody; Leishmania	20
86720	Antibody; Leptospira	20
86723	Antibody; Listeria monocytogenes	32
86727	Antibody; lymphocytic choriomeningitis	38
86729	Antibody; Lymphogranuloma Venereum	34
86732	Antibody; mucormycosis	22
86735	Antibody; mumps	15
86738	Antibody; Mycoplasma	20
86741	Antibody; Neisseria meningitidis	32
86744	Antibody; Nocardia	18
86747	Antibody; parvovirus	20
86750	Antibody; Plasmodium (malaria)	30
86753	"Antibody; protozoa, not elsewhere specified"	43
86756	Antibody; respiratory syncytial virus	37
86757	Antibody; Rickettsia	20
86759	Antibody; rotavirus	19
86762	Antibody; rubella	17
86765	Antibody; rubeola	17
86768	Antibody; Salmonella	20
86771	Antibody; Shigella	18
86774	Antibody; tetanus	17
86777	Antibody; Toxoplasma	20
86778	"Antibody; Toxoplasma, IgM"	25
86780	Antibody; Treponema pallidum	28
86781	"Antibody; Treponema Pallidum, confirmatory test (eg, FTA-abs)"	61
86784	Antibody; trichinella	21
86787	Antibody; varicella-zoster	26
86790	"Antibody; virus, not elsewhere specified"	40
86789	Antibody; West Nile virus	25
86788	"Antibody; West Nile virus, IgM"	30
86793	Antibody; Yersinia	18
99364	"Anticoagulant management for an outpatient taking warfarin, physician review and interpretation of International Normalized Ratio (INR) testing, patient instructions, dosage adjustment (as needed), and ordering of additional tests; each subsequent 90 days"	255
99363	###############################################################################################################################################################################################################################################################	256
4075F	Anticoagulant therapy prescribed at discharge (STR)	51
4178F	Anti-D immune globulin received between 26 and 30 weeks gestation (PRENATAL)	76
4063F	Antidepressant pharmacotherapy considered and not prescribed (MDD ADOL)	71
4064F	Antidepressant pharmacotherapy prescribed (MDD)	47
4134F	Antihistamines or decongestants neither prescribed nor recommended (OME)	72
4133F	Antihistamines or decongestants prescribed or recommended (OME)	63
86880	"Antihuman globulin test (Coombs test); direct, each antiserum"	61
86885	"Antihuman globulin test (Coombs test); indirect, qualitative, each antiserum"	76
86886	"Antihuman globulin test (Coombs test); indirect, titer, each antiserum"	70
4016F	"Anti-inflammatory/analgesic agent prescribed [Use for prescribed or continued medication(s), including over-the-counter medication(s)]"	134
86038	Antinuclear antibodies (ANA)	28
86039	Antinuclear antibodies (ANA); titer	35
86148	Anti-phosphatidylserine (phospholipid) antibody	47
0030T	"Antiprothrombin (phospholipid cofactor) antibody, each Ig class"	63
4065F	Antipsychotic pharmacotherapy prescribed (MDD)	46
86063	Antistreptolysin 0; screen	26
86060	Antistreptolysin 0; titer	25
33783	"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); with reimplantation of 1 or both coronary ostia"	160
33782	"Aortic root translocation with ventricular septal defect and pulmonary stenosis repair (ie, Nikaidoh procedure); without coronary ostium reimplantation"	151
33800	"Aortic suspension (aortopexy) for tracheal decompression (eg, for tracheomalacia) (separate procedure)"	102
75630	"Aortography, abdominal plus bilateral iliofemoral lower extremity, catheter, by serialography, radiological supervision and interpretation"	138
75625	"Aortography, abdominal, by serialography, radiological supervision and interpretation"	85
75605	"Aortography, thoracic, by serialography, radiological supervision and interpretation"	84
75600	"Aortography, thoracic, without serialography, radiological supervision and interpretation"	89
33417	Aortoplasty (gusset) for supravalvular stenosis	47
81203	"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; duplication/deletion variants"	137
81201	"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; full gene sequence"	126
81202	"APC (adenomatous polyposis coli) (eg, familial adenomatosis polyposis [FAP], attenuated FAP) gene analysis; known familial variants"	131
0L	APC (hereditary polyposis coli)	31
2Q	API1 or MALT1 (MALT lymphoma)	29
7A	"APOE, commonly called apolipoprotein E (cardiovascular disease or Alzheimer's disease)"	86
82172	"Apolipoprotein, each"	20
44950	Appendectomy	12
44960	Appendectomy; for ruptured appendix with abscess or generalized peritonitis	75
44955	Appendectomy; when done for indicated purpose at time of other major procedure (not as separate procedure) (List separately in addition to code for primary procedure)	166
97034	"Application of a modality to one or more areas; contrast baths, each 15 minutes"	79
97024	Application of a modality to one or more areas; diathermy	57
97032	"Application of a modality to one or more areas; electrical stimulation (manual), each 15 minutes"	96
97014	Application of a modality to one or more areas; electrical stimulation (unattended)	83
97010	Application of a modality to one or more areas; hot or cold packs	65
97036	"Application of a modality to one or more areas; Hubbard tank, each 15 minutes"	77
97026	Application of a modality to one or more areas; infrared	56
97033	"Application of a modality to one or more areas; iontophoresis, each 15 minutes"	78
97020	Application of a modality to one or more areas; microwave	57
97018	Application of a modality to one or more areas; paraffin bath	61
97012	"Application of a modality to one or more areas; traction, mechanical"	68
97035	"Application of a modality to one or more areas; ultrasound, each 15 minutes"	75
97028	Application of a modality to one or more areas; ultraviolet	59
97016	Application of a modality to one or more areas; vasopneumatic devices	69
97022	Application of a modality to one or more areas; whirlpool	57
20692	"Application of a multiplane (pins or wires in more than one plane), unilateral, external fixation system (eg, Ilizarov, Monticelli type)"	136
20690	"Application of a uniplane (pins or wires in one plane), unilateral, external fixation system"	92
15350	"Application of allograft, skin; 100 sq cm or less"	49
15351	"Application of allograft, skin; each additional 100 sq cm (List separately in addition to code for primary procedure)"	117
15342	Application of bilaminate skin substitute/neodermis; 25 sq cm	61
15343	Application of bilaminate skin substitute/neodermis; each additional 25 sq cm (List separately in addition to code for primary procedure)	137
29035	"Application of body cast, shoulder to hips"	42
29046	"Application of body cast, shoulder to hips; including both thighs"	65
29040	"Application of body cast, shoulder to hips; including head, Minerva type"	72
29044	"Application of body cast, shoulder to hips; including one thigh"	63
29450	"Application of clubfoot cast with molding or manipulation, long or short leg"	76
20660	"Application of cranial tongs, caliper, or stereotactic frame, including removal (separate procedure)"	100
29365	Application of cylinder cast (thigh to ankle)	45
29131	Application of finger splint; dynamic	37
29130	Application of finger splint; static	36
21100	"Application of halo type appliance for maxillofacial fixation, includes removal (separate procedure)"	100
29000	Application of halo type body cast (see 20661-20663 for insertion)	66
20664	"Application of halo, including removal, cranial, 6 or more pins placed, for thin skull osteology (eg, pediatric patients, hydrocephalus, osteogenesis imperfecta), requiring general anesthesia"	191
20661	"Application of halo, including removal; cranial"	47
20663	"Application of halo, including removal; femoral"	47
20662	"Application of halo, including removal; pelvic"	46
29325	Application of hip spica cast; one and one-half spica or both legs	66
29305	Application of hip spica cast; one leg	38
21110	"Application of interdental fixation device for conditions other than fracture or dislocation, includes removal"	110
22851	"Application of intervertebral biomechanical device(s) (eg, synthetic cage(s), threaded bone dowel(s), methylmethacrylate) to vertebral defect or interspace"	155
29105	Application of long arm splint (shoulder to hand)	49
29345	Application of long leg cast (thigh to toes)	44
29355	Application of long leg cast (thigh to toes); walker or ambulatory type	71
29358	Application of long leg cast brace	34
29505	Application of long leg splint (thigh to ankle or toes)	55
29582	"Application of multi-layer compression system; thigh and leg, including ankle and foot, when performed"	102
29583	Application of multi-layer compression system; upper arm and forearm	68
29584	"Application of multi-layer compression system; upper arm, forearm, hand, and fingers"	84
29581	"Application of multi-layer venous wound compression system, below knee"	70
20697	"Application of multiplane (pins or wires in more than one plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; exchange (ie, removal and replacement) of strut, each"	236
20696	"Application of multiplane (pins or wires in more than one plane), unilateral, external fixation with stereotactic computer-assisted adjustment (eg, spatial frame), including imaging; initial and subsequent alignment(s), assessment(s), and computation(s) o"	255
29435	Application of patellar tendon bearing (PTB) cast	49
33620	"Application of right and left pulmonary artery bands (eg, hybrid approach stage 1)"	82
29445	Application of rigid total contact leg cast	43
29015	"Application of Risser jacket, localizer, body; including head"	61
29010	"Application of Risser jacket, localizer, body; only"	51
29126	Application of short arm splint (forearm to hand); dynamic	58
29125	Application of short arm splint (forearm to hand); static	57
29405	Application of short leg cast (below knee to toes)	50
29425	Application of short leg cast (below knee to toes); walking or ambulatory type	78
29515	Application of short leg splint (calf to foot)	46
15278	"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part the"	255
15277	"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of"	255
15276	"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separatel"	255
15275	"Application of skin substitute graft to face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"	220
15274	"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; each additional 100 sq cm wound surface area, or part thereof, or each additional 1% of body area of infants and children, or part ther"	255
15273	"Application of skin substitute graft to trunk, arms, legs, total wound surface area greater than or equal to 100 sq cm; first 100 sq cm wound surface area, or 1% of body area of infants and children"	198
15272	"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; each additional 25 sq cm wound surface area, or part thereof (List separately in addition to code for primary procedure)"	221
15271	"Application of skin substitute graft to trunk, arms, legs, total wound surface area up to 100 sq cm; first 25 sq cm or less wound surface area"	142
61800	Application of stereotactic headframe for stereotactic radiosurgery (List separately in addition to code for primary procedure)	127
64550	Application of surface (transcutaneous) neurostimulator	55
29025	"Application of turnbuckle jacket, body; including head"	54
29020	"Application of turnbuckle jacket, body; only"	44
15400	"Application of xenograft, skin; 100 sq cm or less"	49
15401	"Application of xenograft, skin; each additional 100 sq cm (List separately in addition to code for primary procedure)"	117
29075	"Application, cast; elbow to finger (short arm)"	46
29049	"Application, cast; figure-of-eight"	34
29086	"Application, cast; finger (eg, contracture)"	43
29085	"Application, cast; hand and lower forearm (gauntlet)"	52
29058	"Application, cast; plaster Velpeau"	34
29055	"Application, cast; shoulder spica"	33
29065	"Application, cast; shoulder to hand (long arm)"	46
4188F	Appropriate angiotensin converting enzyme (ACE)/angiotensin receptor blockers (ARB) therapeutic monitoring test ordered or performed (AM)	137
4191F	Appropriate anticonvulsant therapeutic monitoring test ordered or performed (AM)	80
4189F	Appropriate digoxin therapeutic monitoring test ordered or performed (AM)	73
4190F	Appropriate diuretic therapeutic monitoring test ordered or performed (AM)	74
4045F	Appropriate empiric antibiotic prescribed (See measure developer's Web site for definition of appropriate antibiotic) (CAP)	123
4269F	Appropriate method of offloading (pressure relief) prescribed (CWC)	67
4056F	Appropriate oral rehydration solution recommended (PAG)	55
66180	"Aqueous shunt to extraocular reservoir (eg, Molteno, Schocket, Denver-Krupin)"	77
88384	Array-based evaluation of multiple molecular probes; 11 through 50 probes	73
88386	Array-based evaluation of multiple molecular probes; 251 through 500 probes	75
88385	Array-based evaluation of multiple molecular probes; 51 through 250 probes	74
27740	"Arrest, epiphyseal (epiphysiodesis), any method, combined, proximal and distal tibia and fibula"	95
27742	"Arrest, epiphyseal (epiphysiodesis), any method, combined, proximal and distal tibia and fibula; and distal femur"	113
27732	"Arrest, epiphyseal (epiphysiodesis), any method; distal fibula"	62
27730	"Arrest, epiphyseal (epiphysiodesis), any method; distal tibia"	61
27734	"Arrest, epiphyseal (epiphysiodesis), any method; distal tibia and fibula"	72
27479	"Arrest, epiphyseal, any method (eg, epiphysiodesis); combined distal femur, proximal tibia and fibula"	101
27475	"Arrest, epiphyseal, any method (eg, epiphysiodesis); distal femur"	65
27477	"Arrest, epiphyseal, any method (eg, epiphysiodesis); tibia and fibula, proximal"	79
27485	"Arrest, hemiepiphyseal, distal femur or proximal tibia or fibula (eg, genu varus or valgus)"	91
82175	Arsenic	7
36640	"Arterial catheterization for prolonged infusion therapy (chemotherapy), cutdown"	79
36625	"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); cutdown"	109
36620	"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous"	114
36600	"Arterial puncture, withdrawal of blood for diagnosis"	52
36820	"Arteriovenous anastomosis, open; by forearm vein transposition"	62
36819	"Arteriovenous anastomosis, open; by upper arm basilic vein transposition"	72
36818	"Arteriovenous anastomosis, open; by upper arm cephalic vein transposition"	73
36821	"Arteriovenous anastomosis, open; direct, any site (eg, Cimino type) (separate procedure)"	88
80072	"Arthritis panel This panel must include the following: Uric acid, blood, chemical (84550) Sedimentation rate, erythrocyte, non-automated (85651) Fluorescent noninfectious agent, screen, each antibody (86255) Rheumatoid factor, qualitative (86430)"	246
20605	"Arthrocentesis, aspiration and/or injection; intermediate joint, bursa or ganglion cyst (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa)"	170
20610	"Arthrocentesis, aspiration and/or injection; major joint or bursa (eg, shoulder, hip, knee joint, subacromial bursa)"	116
20600	"Arthrocentesis, aspiration and/or injection; small joint, bursa or ganglion cyst (eg, fingers, toes)"	100
27870	"Arthrodesis, ankle, any method"	30
22554	"Arthrodesis, anterior interbody technique, including minimal diskectomy to prepare interspace (other than for decompression); cervical below C2"	143
22585	"Arthrodesis, anterior interbody technique, including minimal diskectomy to prepare interspace (other than for decompression); each additional interspace (List separately in addition to code for primary procedure)"	212
22558	"Arthrodesis, anterior interbody technique, including minimal diskectomy to prepare interspace (other than for decompression); lumbar"	132
22556	"Arthrodesis, anterior interbody technique, including minimal diskectomy to prepare interspace (other than for decompression); thoracic"	134
22551	"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2"	165
22552	"Arthrodesis, anterior interbody, including disc space preparation, discectomy, osteophytectomy and decompression of spinal cord and/or nerve roots; cervical below C2, each additional interspace (List separately in addition to code for separate procedure)"	254
22548	"Arthrodesis, anterior transoral or extraoral technique, clivus-C1-C2 (atlas-axis), with or without excision of odontoid process"	127
22808	"Arthrodesis, anterior, for spinal deformity, with or without cast; 2 to 3 vertebral segments"	92
22810	"Arthrodesis, anterior, for spinal deformity, with or without cast; 4 to 7 vertebral segments"	92
22812	"Arthrodesis, anterior, for spinal deformity, with or without cast; 8 or more vertebral segments"	95
26843	"Arthrodesis, carpometacarpal joint, digit, other than thumb, each"	65
26844	"Arthrodesis, carpometacarpal joint, digit, other than thumb, each; with autograft (includes obtaining graft)"	108
26841	"Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation"	76
26842	"Arthrodesis, carpometacarpal joint, thumb, with or without internal fixation; with autograft (includes obtaining graft)"	119
22634	"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; each additional interspa"	255
22633	"Arthrodesis, combined posterior or posterolateral technique with posterior interbody technique including laminectomy and/or discectomy sufficient to prepare interspace (other than for decompression), single interspace and segment; lumbar"	237
25830	"Arthrodesis, distal radioulnar joint with segmental resection of ulna, with or without bone graft (eg, Sauve-Kapandji procedure)"	128
24800	"Arthrodesis, elbow joint; local"	31
24802	"Arthrodesis, elbow joint; with autogenous graft (includes obtaining graft)"	74
23800	"Arthrodesis, glenohumeral joint"	31
23802	"Arthrodesis, glenohumeral joint; with autogenous graft (includes obtaining graft)"	81
28755	"Arthrodesis, great toe; interphalangeal joint"	45
28750	"Arthrodesis, great toe; metatarsophalangeal joint"	49
27284	"Arthrodesis, hip joint (including obtaining graft)"	50
27286	"Arthrodesis, hip joint (including obtaining graft); with subtrochanteric osteotomy"	82
26860	"Arthrodesis, interphalangeal joint, with or without internal fixation"	69
26861	"Arthrodesis, interphalangeal joint, with or without internal fixation; each additional interphalangeal joint (List separately in addition to code for primary procedure)"	168
26862	"Arthrodesis, interphalangeal joint, with or without internal fixation; with autograft (includes obtaining graft)"	112
26863	"Arthrodesis, interphalangeal joint, with or without internal fixation; with autograft (includes obtaining graft), each additional joint (List separately in addition to code for primary procedure)"	195
27580	"Arthrodesis, knee, any technique"	32
22533	"Arthrodesis, lateral extracavitary technique, including minimal diskectomy to prepare interspace (other than for decompression); lumbar"	135
22532	"Arthrodesis, lateral extracavitary technique, including minimal diskectomy to prepare interspace (other than for decompression); thoracic"	137
22534	"Arthrodesis, lateral extracavitary technique, including minimal diskectomy to prepare interspace (other than for decompression); thoracic or lumbar, each additional vertebral segment (List separately in addition to code for primary procedure)"	242
26850	"Arthrodesis, metacarpophalangeal joint, with or without internal fixation"	73
26852	"Arthrodesis, metacarpophalangeal joint, with or without internal fixation; with autograft (includes obtaining graft)"	116
28730	"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse"	65
28735	"Arthrodesis, midtarsal or tarsometatarsal, multiple or transverse; with osteotomy (eg, flatfoot correction)"	107
28740	"Arthrodesis, midtarsal or tarsometatarsal, single joint"	55
22632	"Arthrodesis, posterior interbody technique, including laminectomy and/or diskectomy to prepare interspace (other than for decompression), single interspace; each additional interspace (List separately in addition to code for primary procedure)"	243
22630	"Arthrodesis, posterior interbody technique, including laminectomy and/or diskectomy to prepare interspace (other than for decompression), single interspace; lumbar"	163
22600	"Arthrodesis, posterior or posterolateral technique, single level; cervical below C2 segment"	91
22614	"Arthrodesis, posterior or posterolateral technique, single level; each additional vertebral segment (List separately in addition to code for primary procedure)"	159
22612	"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with or without lateral transverse technique)"	119
22610	"Arthrodesis, posterior or posterolateral technique, single level; thoracic (with or without lateral transverse technique)"	121
22595	"Arthrodesis, posterior technique, atlas-axis (C1-C2)"	52
22590	"Arthrodesis, posterior technique, craniocervical (occiput-C2)"	61
22804	"Arthrodesis, posterior, for spinal deformity, with or without cast; 13 or more vertebral segments"	97
22802	"Arthrodesis, posterior, for spinal deformity, with or without cast; 7 to 12 vertebral segments"	94
22800	"Arthrodesis, posterior, for spinal deformity, with or without cast; up to 6 vertebral segments"	94
22586	"Arthrodesis, pre-sacral interbody technique, including disc space preparation, discectomy, with posterior instrumentation, with image guidance, includes bone graft when performed, L5-S1 interspace"	196
0309T	"Arthrodesis, pre-sacral interbody technique, including disc space preparation, discectomy, with posterior instrumentation, with image guidance, includes bone graft, when performed, lumbar, L4-L5 interspace (List separately in addition to code for primary"	254
0196T	"Arthrodesis, pre-sacral interbody technique, including instrumentation, imaging (when performed), and discectomy to prepare interspace, lumbar; each additional interspace (List separately in addition to code for primary procedure)"	230
0195T	"Arthrodesis, pre-sacral interbody technique, including instrumentation, imaging (when performed), and discectomy to prepare interspace, lumbar; single interspace"	161
27280	"Arthrodesis, sacroiliac joint (including obtaining graft)"	57
27282	"Arthrodesis, symphysis pubis (including obtaining graft)"	56
27871	"Arthrodesis, tibiofibular joint, proximal or distal"	51
28760	"Arthrodesis, with extensor hallucis longus transfer to first metatarsal neck, great toe, interphalangeal joint (eg, Jones type procedure)"	137
28737	"Arthrodesis, with tendon lengthening and advancement, midtarsal, tarsal navicular-cuneiform (eg, Miller type procedure)"	119
25800	"Arthrodesis, wrist; complete, without bone graft (includes radiocarpal and/or intercarpal and/or carpometacarpal joints)"	120
25820	"Arthrodesis, wrist; limited, without bone graft (eg, intercarpal or radiocarpal)"	80
25825	"Arthrodesis, wrist; with autograft (includes obtaining graft)"	61
25810	"Arthrodesis, wrist; with iliac or other autograft (includes obtaining graft)"	76
25805	"Arthrodesis, wrist; with sliding graft"	38
28705	Arthrodesis; pantalar	21
28725	Arthrodesis; subtalar	21
28715	Arthrodesis; triple	19
25441	Arthroplasty with prosthetic replacement; distal radius	55
25446	Arthroplasty with prosthetic replacement; distal radius and partial or entire carpus (total wrist)	98
25442	Arthroplasty with prosthetic replacement; distal ulna	53
25444	Arthroplasty with prosthetic replacement; lunate	48
25443	Arthroplasty with prosthetic replacement; scaphoid carpal (navicular)	69
25445	Arthroplasty with prosthetic replacement; trapezium	51
27130	"Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft"	133
27700	"Arthroplasty, ankle"	19
27703	"Arthroplasty, ankle; revision, total ankle"	42
27702	"Arthroplasty, ankle; with implant (total ankle)"	47
24361	"Arthroplasty, elbow; with distal humeral prosthetic replacement"	63
24363	"Arthroplasty, elbow; with distal humerus and proximal ulnar prosthetic replacement (eg, total elbow)"	100
24362	"Arthroplasty, elbow; with implant and fascia lata ligament reconstruction"	73
24360	"Arthroplasty, elbow; with membrane (eg, fascial)"	48
27442	"Arthroplasty, femoral condyles or tibial plateau(s), knee"	57
27443	"Arthroplasty, femoral condyles or tibial plateau(s), knee; with debridement and partial synovectomy"	99
23470	"Arthroplasty, glenohumeral joint; hemiarthroplasty"	50
23472	"Arthroplasty, glenohumeral joint; total shoulder (glenoid and proximal humeral replacement (eg, total shoulder))"	112
26535	"Arthroplasty, interphalangeal joint; each joint"	47
26536	"Arthroplasty, interphalangeal joint; with prosthetic implant, each joint"	72
25447	"Arthroplasty, interposition, intercarpal or carpometacarpal joints"	66
27447	"Arthroplasty, knee, condyle and plateau; medial AND lateral compartments with or without patella resurfacing (total knee arthroplasty)"	134
27446	"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment"	70
27445	"Arthroplasty, knee, hinge prosthesis (eg, Walldius type)"	56
27440	"Arthroplasty, knee, tibial plateau"	34
27441	"Arthroplasty, knee, tibial plateau; with debridement and partial synovectomy"	76
26530	"Arthroplasty, metacarpophalangeal joint; each joint"	51
26531	"Arthroplasty, metacarpophalangeal joint; with prosthetic implant, each joint"	76
27438	"Arthroplasty, patella; with prosthesis"	38
27437	"Arthroplasty, patella; without prosthesis"	41
24365	"Arthroplasty, radial head"	25
24366	"Arthroplasty, radial head; with implant"	39
21242	"Arthroplasty, temporomandibular joint, with allograft"	53
21240	"Arthroplasty, temporomandibular joint, with or without autograft (includes obtaining graft)"	91
21243	"Arthroplasty, temporomandibular joint, with prosthetic joint replacement"	72
25332	"Arthroplasty, wrist, with or without interposition, with or without external or internal fixation"	97
29888	Arthroscopically aided anterior cruciate ligament repair/augmentation or reconstruction	87
29889	Arthroscopically aided posterior cruciate ligament repair/augmentation or reconstruction	88
29892	"Arthroscopically aided repair of large osteochondritis dissecans lesion, talar dome fracture, or tibial plafond fracture, with or without internal fixation (includes arthroscopy)"	178
29851	"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without manipulation; with internal or external fixation (includes arthroscopy)"	189
29850	"Arthroscopically aided treatment of intercondylar spine(s) and/or tuberosity fracture(s) of the knee, with or without manipulation; without internal or external fixation (includes arthroscopy)"	192
29856	"Arthroscopically aided treatment of tibial fracture, proximal (plateau); bicondylar, with or without internal or external fixation (includes arthroscopy)"	153
29855	"Arthroscopically aided treatment of tibial fracture, proximal (plateau); unicondylar, with or without internal or external fixation (includes arthroscopy)"	154
29898	"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; debridement, extensive"	88
29897	"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; debridement, limited"	86
29895	"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; synovectomy, partial"	86
29899	"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; with ankle arthrodesis"	88
29894	"Arthroscopy, ankle (tibiotalar and fibulotalar joints), surgical; with removal of loose body or foreign body"	108
29891	"Arthroscopy, ankle, surgical; excision of osteochondral defect of talus and/or tibia, including drilling of the defect"	118
29830	"Arthroscopy, elbow, diagnostic, with or without synovial biopsy (separate procedure)"	84
29838	"Arthroscopy, elbow, surgical; debridement, extensive"	52
29837	"Arthroscopy, elbow, surgical; debridement, limited"	50
29836	"Arthroscopy, elbow, surgical; synovectomy, complete"	51
29835	"Arthroscopy, elbow, surgical; synovectomy, partial"	50
29834	"Arthroscopy, elbow, surgical; with removal of loose body or foreign body"	72
29860	"Arthroscopy, hip, diagnostic with or without synovial biopsy (separate procedure)"	81
29862	"Arthroscopy, hip, surgical; with debridement/shaving of articular cartilage (chondroplasty), abrasion arthroplasty, and/or resection of labrum"	142
29914	"Arthroscopy, hip, surgical; with femoroplasty (ie, treatment of cam lesion)"	75
29861	"Arthroscopy, hip, surgical; with removal of loose body or foreign body"	70
29863	"Arthroscopy, hip, surgical; with synovectomy"	44
29870	"Arthroscopy, knee, diagnostic, with or without synovial biopsy (separate procedure)"	83
0013T	"Arthroscopy, knee, surgical, implantation of osteochondral graft(s) for treatment of articular surface defect; allografts"	121
0012T	"Arthroscopy, knee, surgical, implantation of osteochondral graft(s) for treatment of articular surface defect; autografts"	121
29879	"Arthroscopy, knee, surgical; abrasion arthroplasty (includes chondroplasty where necessary) or multiple drilling or microfracture"	129
29877	"Arthroscopy, knee, surgical; debridement/shaving of articular cartilage (chondroplasty)"	87
29886	"Arthroscopy, knee, surgical; drilling for intact osteochondritis dissecans lesion"	81
29887	"Arthroscopy, knee, surgical; drilling for intact osteochondritis dissecans lesion with internal fixation"	104
29885	"Arthroscopy, knee, surgical; drilling for osteochondritis dissecans with bone grafting, with or without internal fixation (including debridement of base of lesion)"	163
29871	"Arthroscopy, knee, surgical; for infection, lavage and drainage"	63
29874	"Arthroscopy, knee, surgical; for removal of loose body or foreign body (eg, osteochondritis dissecans fragmentation, chondral fragmentation)"	140
29868	"Arthroscopy, knee, surgical; meniscal transplantation (includes arthrotomy for meniscal insertion), medial or lateral"	117
29867	"Arthroscopy, knee, surgical; osteochondral allograft (eg, mosaicplasty)"	71
29866	"Arthroscopy, knee, surgical; osteochondral autograft(s) (eg, mosaicplasty) (includes harvesting of the autograft)"	113
29875	"Arthroscopy, knee, surgical; synovectomy, limited (eg, plica or shelf resection) (separate procedure)"	101
29876	"Arthroscopy, knee, surgical; synovectomy, major, two or more compartments (eg, medial or lateral)"	97
29873	"Arthroscopy, knee, surgical; with lateral release"	49
29884	"Arthroscopy, knee, surgical; with lysis of adhesions, with or without manipulation (separate procedure)"	103
29880	"Arthroscopy, knee, surgical; with meniscectomy (medial AND lateral, including any meniscal shaving)"	99
29881	"Arthroscopy, knee, surgical; with meniscectomy (medial OR lateral, including any meniscal shaving)"	98
29883	"Arthroscopy, knee, surgical; with meniscus repair (medial AND lateral)"	70
29882	"Arthroscopy, knee, surgical; with meniscus repair (medial OR lateral)"	69
29900	"Arthroscopy, metacarpophalangeal joint, diagnostic, includes synovial biopsy"	76
