Code	Description
B03BA51	cyanocobalamin, combinations
B03BA53	hydroxocobalamin, combinations
B03BB	Folic acid and derivatives
B03BB01	folic acid
B03BB51	folic acid, combinations
B03X	OTHER ANTIANEMIC PREPARATIONS
B03XA	Other antianemic preparations
B03XA01	erythropoietin
B03XA02	darbepoetin alfa
B03XA03	methoxy polyethylene glycol-epoetin beta
B03XA04	peginesatide
B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05A	BLOOD AND RELATED PRODUCTS
B05AA	Blood substitutes and plasma protein fractions
B05AA01	albumin
B05AA02	other plasma protein fractions
B05AA03	fluorocarbon blood substitutes
B05AA05	dextran
B05AA06	gelatin agents
B05AA07	hydroxyethylstarch
B05AA08	hemoglobin crosfumaril
B05AA09	hemoglobin raffimer
B05AA10	hemoglobin glutamer (bovine)
B05AX	Other blood products
B05AX01	erythrocytes
B05AX02	thrombocytes
B05AX03	blood plasma
B05AX04	stem cells from umbilical cord blood
B05B	I.V. SOLUTIONS
B05BA	Solutions for parenteral nutrition
B05BA01	amino acids
B05BA02	fat emulsions
B05BA03	carbohydrates
B05BA04	protein hydrolysates
B05BA10	combinations
B05BB	Solutions affecting the electrolyte balance
B05BB01	electrolytes
B05BB02	electrolytes with carbohydrates
B05BB03	trometamol
B05BB04	electrolytes in combination with other drugs
B05BC	Solutions producing osmotic diuresis
B05BC01	mannitol
B05BC02	carbamide
B05C	IRRIGATING SOLUTIONS
B05CA	Antiinfectives
B05CA01	cetylpyridinium
B05CA02	chlorhexidine
B05CA03	nitrofural
B05CA04	sulfamethizole
B05CA05	taurolidine
B05CA06	mandelic acid
B05CA07	noxytiolin
B05CA08	ethacridine lactate
B05CA09	neomycin
B05CA10	combinations
B05CB	Salt solutions
B05CB01	sodium chloride
B05CB02	sodium citrate
B05CB03	magnesium citrate
B05CB04	sodium bicarbonate
B05CB10	combinations
B05CX	Other irrigating solutions
B05CX01	glucose
B05CX02	sorbitol
B05CX03	glycine
B05CX04	mannitol
B05CX10	combinations
B05D	PERITONEAL DIALYTICS
B05DA	Isotonic solutions
B05DB	Hypertonic solutions
B05X	I.V. SOLUTION ADDITIVES
B05XA	Electrolyte solutions
B05XA01	potassium chloride
B05XA02	sodium bicarbonate
B05XA03	sodium chloride
B05XA04	ammonium chloride
B05XA05	magnesium sulfate
B05XA06	potassium phosphate, incl. combinations with other potassium salts
B05XA07	calcium chloride
B05XA08	sodium acetate
B05XA09	sodium phosphate
B05XA10	magnesium phosphate
B05XA11	magnesium chloride
B05XA12	zinc chloride
B05XA13	hydrochloric acid
B05XA14	sodium glycerophosphate
B05XA15	potassium lactate
B05XA16	cardioplegia solutions
B05XA17	potassium acetate
B05XA30	combinations of electrolytes
B05XA31	electrolytes in combination with other drugs
B05XB	Amino acids
B05XB01	arginine hydrochloride
B05XB02	alanyl glutamine
B05XB03	lysine
B05XC	Vitamins
B05XX	Other i.v. solution additives
B05XX02	trometamol
B05Z	HEMODIALYTICS AND HEMOFILTRATES
B05ZA	Hemodialytics, concentrates
B05ZB	Hemofiltrates
B06	OTHER HEMATOLOGICAL AGENTS
B06A	OTHER HEMATOLOGICAL AGENTS
B06AA	Enzymes
B06AA02	fibrinolysin and desoxyribonuclease
B06AA03	hyaluronidase
B06AA04	chymotrypsin
B06AA07	trypsin
B06AA10	desoxyribonuclease
B06AA55	streptokinase, combinations
B06AB	Other hem products
B06AB01	hematin
B06AC	Drugs used in hereditary angioedema
B06AC01	c1-inhibitor, plasma derived
B06AC02	icatibant
B06AC03	ecallantide
B06AC04	conestat alfa
C	CARDIOVASCULAR SYSTEM
C01	CARDIAC THERAPY
C01A	CARDIAC GLYCOSIDES
C01AA	Digitalis glycosides
C01AA01	acetyldigitoxin
C01AA02	acetyldigoxin
C01AA03	digitalis leaves
C01AA04	digitoxin
C01AA05	digoxin
C01AA06	lanatoside C
C01AA07	deslanoside
C01AA08	metildigoxin
C01AA09	gitoformate
C01AA52	acetyldigoxin, combinations
C01AB	Scilla glycosides
C01AB01	proscillaridin
C01AB51	proscillaridin, combinations
C01AC	Strophantus glycosides
C01AC01	g-strophanthin
C01AC03	cymarin
C01AX	Other cardiac glycosides
C01AX02	peruvoside
C01B	ANTIARRHYTHMICS, CLASS I AND III
C01BA	Antiarrhythmics, class Ia
C01BA01	quinidine
C01BA02	procainamide
C01BA03	disopyramide
C01BA04	sparteine
C01BA05	ajmaline
C01BA08	prajmaline
C01BA12	lorajmine
C01BA51	quinidine, combinations excl. psycholeptics
C01BA71	quinidine, combinations with psycholeptics
C01BB	Antiarrhythmics, class Ib
C01BB01	lidocaine
C01BB02	mexiletine
C01BB03	tocainide
C01BB04	aprindine
C01BC	Antiarrhythmics, class Ic
C01BC03	propafenone
C01BC04	flecainide
C01BC07	lorcainide
C01BC08	encainide
C01BC09	ethacizine
C01BD	Antiarrhythmics, class III
C01BD01	amiodarone
C01BD02	bretylium tosilate
C01BD03	bunaftine
C01BD04	dofetilide
C01BD05	ibutilide
C01BD06	tedisamil
C01BD07	dronedarone
C01BG	Other antiarrhythmics, class I and III
C01BG01	moracizine
C01BG07	cibenzoline
C01BG11	vernakalant
C01C	CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES
C01CA	Adrenergic and dopaminergic agents
C01CA01	etilefrine
C01CA02	isoprenaline
C01CA03	norepinephrine
C01CA04	dopamine
C01CA05	norfenefrine
C01CA06	phenylephrine
C01CA07	dobutamine
C01CA08	oxedrine
C01CA09	metaraminol
C01CA10	methoxamine
C01CA11	mephentermine
C01CA12	dimetofrine
C01CA13	prenalterol
C01CA14	dopexamine
C01CA15	gepefrine
C01CA16	ibopamine
C01CA17	midodrine
C01CA18	octopamine
C01CA19	fenoldopam
C01CA21	cafedrine
C01CA22	arbutamine
C01CA23	theodrenaline
C01CA24	epinephrine
C01CA25	amezinium metilsulfate
C01CA26	ephedrine
C01CA30	combinations
C01CA51	etilefrine, combinations
C01CE	Phosphodiesterase inhibitors
C01CE01	amrinone
C01CE02	milrinone
C01CE03	enoximone
C01CE04	bucladesine
C01CX	Other cardiac stimulants
C01CX06	angiotensinamide
C01CX07	xamoterol
C01CX08	levosimendan
C01D	VASODILATORS USED IN CARDIAC DISEASES
C01DA	Organic nitrates
C01DA02	glyceryl trinitrate
C01DA04	methylpropylpropanediol dinitrate
C01DA05	pentaerithrityl tetranitrate
C01DA07	propatylnitrate
C01DA08	isosorbide dinitrate
C01DA09	trolnitrate
C01DA13	eritrityl tetranitrate
C01DA14	isosorbide mononitrate
C01DA20	organic nitrates in combination
C01DA38	tenitramine
C01DA52	glyceryl trinitrate, combinations
C01DA54	methylpropylpropanediol dinitrate, combinations
C01DA55	pentaerithrityl tetranitrate, combinations
C01DA57	propatylnitrate, combinations
C01DA58	isosorbide dinitrate, combinations
C01DA59	trolnitrate, combinations
C01DA63	eritrityl tetranitrate, combinations
C01DA70	organic nitrates in combination with psycholeptics
C01DB	Quinolone vasodilators
C01DB01	flosequinan
C01DX	Other vasodilators used in cardiac diseases
C01DX01	itramin tosilate
C01DX02	prenylamine
C01DX03	oxyfedrine
C01DX04	benziodarone
C01DX05	carbocromen
C01DX06	hexobendine
C01DX07	etafenone
C01DX08	heptaminol
C01DX09	imolamine
C01DX10	dilazep
C01DX11	trapidil
C01DX12	molsidomine
C01DX13	efloxate
C01DX14	cinepazet
C01DX15	cloridarol
C01DX16	nicorandil
C01DX18	linsidomine
C01DX19	nesiritide
C01DX21	serelaxin
C01DX51	itramin tosilate, combinations
C01DX52	prenylamine, combinations
C01DX53	oxyfedrine, combinations
C01DX54	benziodarone, combinations
C01E	OTHER CARDIAC PREPARATIONS
C01EA	Prostaglandins
C01EA01	alprostadil
C01EB	Other cardiac preparations
C01EB02	camphora
C01EB03	indometacin
C01EB04	crataegus glycosides
C01EB05	creatinolfosfate
C01EB06	fosfocreatine
C01EB07	fructose 1,6-diphosphate
C01EB09	ubidecarenone
C01EB10	adenosine
C01EB11	tiracizine
C01EB13	acadesine
C01EB15	trimetazidine
C01EB16	ibuprofen
C01EB17	ivabradine
C01EB18	ranolazine
C01EB21	regadenoson
C01EB22	meldonium
C01EX	Other cardiac combination products
C02	ANTIHYPERTENSIVES
C02A	ANTIADRENERGIC AGENTS, CENTRALLY ACTING
C02AA	Rauwolfia alkaloids
C02AA01	rescinnamine
C02AA02	reserpine
C02AA03	combinations of rauwolfia alkaloids
C02AA04	rauwolfia alkaloids, whole root
C02AA05	deserpidine
C02AA06	methoserpidine
C02AA07	bietaserpine
C02AA52	reserpine, combinations
C02AA53	combinations of rauwolfia alkoloids, combinations
C02AA57	bietaserpine, combinations
C02AB	Methyldopa
C02AB01	methyldopa (levorotatory)
C02AB02	methyldopa (racemic)
C02AC	Imidazoline receptor agonists
C02AC01	clonidine
C02AC02	guanfacine
C02AC04	tolonidine
C02AC05	moxonidine
C02AC06	rilmenidine
C02B	ANTIADRENERGIC AGENTS, GANGLION-BLOCKING
C02BA	Sulfonium derivatives
C02BA01	trimetaphan
C02BB	Secondary and tertiary amines
C02BB01	mecamylamine
C02BC	Bisquaternary ammonium compounds
C02C	ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING
C02CA	Alpha-adrenoreceptor antagonists
C02CA01	prazosin
C02CA02	indoramin
C02CA03	trimazosin
C02CA04	doxazosin
C02CA06	urapidil
C02CC	Guanidine derivatives
C02CC01	betanidine
C02CC02	guanethidine
C02CC03	guanoxan
C02CC04	debrisoquine
C02CC05	guanoclor
C02CC06	guanazodine
C02CC07	guanoxabenz
C02D	ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON
C02DA	Thiazide derivatives
C02DA01	diazoxide
C02DB	Hydrazinophthalazine derivatives
C02DB01	dihydralazine
C02DB02	hydralazine
C02DB03	endralazine
C02DB04	cadralazine
C02DC	Pyrimidine derivatives
C02DC01	minoxidil
C02DD	Nitroferricyanide derivatives
C02DD01	nitroprusside
C02DG	Guanidine derivatives
C02DG01	pinacidil
C02K	OTHER ANTIHYPERTENSIVES
C02KA	Alkaloids, excl. rauwolfia
C02KA01	veratrum
C02KB	Tyrosine hydroxylase inhibitors
C02KB01	metirosine
C02KC	MAO inhibitors
C02KC01	pargyline
C02KD	Serotonin antagonists
C02KD01	ketanserin
C02KX	Other antihypertensives
C02KX01	bosentan
C02KX02	ambrisentan
C02KX03	sitaxentan
C02KX04	macitentan
C02L	ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION
C02LA	Rauwolfia alkaloids and diuretics in combination
C02LA01	reserpine and diuretics
C02LA02	rescinnamine and diuretics
C02LA03	deserpidine and diuretics
C02LA04	methoserpidine and diuretics
C02LA07	bietaserpine and diuretics
C02LA08	rauwolfia alkaloids, whole root and diuretics
C02LA09	syrosingopine and diuretics
C02LA50	combination of rauwolfia alkaloids and diuretics incl. other combinations
C02LA51	reserpine and diuretics, combinations with other drugs
C02LA52	rescinnamine and diuretics, combinations with other drugs
C02LA71	reserpine and diuretics, combinations with psycholeptics
C02LB	Methyldopa and diuretics in combination
C02LB01	methyldopa (levorotatory) and diuretics
C02LC	Imidazoline receptor agonists in combination with diuretics
C02LC01	clonidine and diuretics
C02LC05	moxonidine and diuretics
C02LC51	clonidine and diuretics, combinations with other drugs
C02LE	Alpha-adrenoreceptor antagonists and diuretics
C02LE01	prazosin and diuretics
C02LF	Guanidine derivatives and diuretics
C02LF01	guanethidine and diuretics
C02LG	Hydrazinophthalazine derivatives and diuretics
C02LG01	dihydralazine and diuretics
C02LG02	hydralazine and diuretics
C02LG03	picodralazine and diuretics
C02LG51	dihydralazine and diuretics, combinations with other drugs
C02LG73	picodralazine and diuretics, combinations with psycholeptics
C02LK	Alkaloids, excl. rauwolfia, in combination with diuretics
C02LK01	veratrum and diuretics
C02LL	MAO inhibitors and diuretics
C02LL01	pargyline and diuretics
C02LN	Serotonin antagonists and diuretics
C02LX	Other antihypertensives and diuretics
C02LX01	pinacidil and diuretics
C02N	COMBINATIONS OF ANTIHYPERTENSIVES IN ATC-GR. C02
C03	DIURETICS
C03A	LOW-CEILING DIURETICS, THIAZIDES
C03AA	Thiazides, plain
C03AA01	bendroflumethiazide
C03AA02	hydroflumethiazide
C03AA03	hydrochlorothiazide
C03AA04	chlorothiazide
C03AA05	polythiazide
C03AA06	trichlormethiazide
C03AA07	cyclopenthiazide
C03AA08	methyclothiazide
C03AA09	cyclothiazide
C03AA13	mebutizide
C03AB	Thiazides and potassium in combination
C03AB01	bendroflumethiazide and potassium
C03AB02	hydroflumethiazide and potassium
C03AB03	hydrochlorothiazide and potassium
C03AB04	chlorothiazide and potassium
C03AB05	polythiazide and potassium
C03AB06	trichlormethiazide and potassium
C03AB07	cyclopenthiazide and potassium
C03AB08	methyclothiazide and potassium
C03AB09	cyclothiazide and potassium
C03AH	Thiazides, combinations with psycholeptics and/or analgesics
C03AH01	chlorothiazide, combinations
C03AH02	hydroflumethiazide, combinations
C03AX	Thiazides, combinations with other drugs
C03AX01	hydrochlorothiazide, combinations
C03B	LOW-CEILING DIURETICS, EXCL. THIAZIDES
C03BA	Sulfonamides, plain
C03BA02	quinethazone
C03BA03	clopamide
C03BA04	chlortalidone
C03BA05	mefruside
C03BA07	clofenamide
C03BA08	metolazone
C03BA09	meticrane
C03BA10	xipamide
C03BA11	indapamide
C03BA12	clorexolone
C03BA13	fenquizone
C03BA82	clorexolone, combinations with psycholeptics
C03BB	Sulfonamides and potassium in combination
C03BB02	quinethazone and potassium
C03BB03	clopamide and potassium
C03BB04	chlortalidone and potassium
C03BB05	mefruside and potassium
C03BB07	clofenamide and potassium
C03BC	Mercurial diuretics
C03BC01	mersalyl
C03BD	Xanthine derivatives
C03BD01	theobromine
C03BK	Sulfonamides, combinations with other drugs
C03BX	Other low-ceiling diuretics
C03BX03	cicletanine
C03C	HIGH-CEILING DIURETICS
C03CA	Sulfonamides, plain
C03CA01	furosemide
C03CA02	bumetanide
C03CA03	piretanide
C03CA04	torasemide
C03CB	Sulfonamides and potassium in combination
C03CB01	furosemide and potassium
C03CB02	bumetanide and potassium
C03CC	Aryloxyacetic acid derivatives
C03CC01	etacrynic acid
C03CC02	tienilic acid
C03CD	Pyrazolone derivatives
C03CD01	muzolimine
C03CX	Other high-ceiling diuretics
C03CX01	etozolin
C03D	POTASSIUM-SPARING AGENTS
C03DA	Aldosterone antagonists
C03DA01	spironolactone
C03DA02	potassium canrenoate
C03DA03	canrenone
C03DA04	eplerenone
C03DB	Other potassium-sparing agents
C03DB01	amiloride
C03DB02	triamterene
C03E	DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION
C03EA	Low-ceiling diuretics and potassium-sparing agents
C03EA01	hydrochlorothiazide and potassium-sparing agents
C03EA02	trichlormethiazide and potassium-sparing agents
C03EA03	epitizide and potassium-sparing agents
C03EA04	altizide and potassium-sparing agents
C03EA05	mebutizide and potassium-sparing agents
C03EA06	chlortalidone and potassium-sparing agents
C03EA07	cyclopenthiazide and potassium-sparing agents
C03EA12	metolazone and potassium-sparing agents
C03EA13	bendroflumethiazide and potassium-sparing agents
C03EA14	butizide and potassium-sparing agents
C03EB	High-ceiling diuretics and potassium-sparing agents
C03EB01	furosemide and potassium-sparing agents
C03EB02	bumetanide and potassium-sparing agents
C03X	OTHER DIURETICS
C03XA	Vasopressin antagonists
C03XA01	tolvaptan
C03XA02	conivaptan
C04	PERIPHERAL VASODILATORS
C04A	PERIPHERAL VASODILATORS
C04AA	2-amino-1-phenylethanol derivatives
C04AA01	isoxsuprine
C04AA02	buphenine
C04AA31	bamethan
C04AB	Imidazoline derivatives
C04AB01	phentolamine
C04AB02	tolazoline
C04AC	Nicotinic acid and derivatives
C04AC01	nicotinic acid
C04AC02	nicotinyl alcohol (pyridylcarbinol)
C04AC03	inositol nicotinate
C04AC07	ciclonicate
C04AD	Purine derivatives
C04AD01	pentifylline
C04AD02	xantinol nicotinate
C04AD03	pentoxifylline
C04AD04	etofylline nicotinate
C04AE	Ergot alkaloids
C04AE01	ergoloid mesylates
C04AE02	nicergoline
C04AE04	dihydroergocristine
C04AE51	ergoloid mesylates, combinations
C04AE54	dihydroergocristine, combinations
C04AF	Enzymes
C04AF01	kallidinogenase
C04AX	Other peripheral vasodilators
C04AX01	cyclandelate
C04AX02	phenoxybenzamine
C04AX07	vincamine
C04AX10	moxisylyte
C04AX11	bencyclane
C04AX17	vinburnine
C04AX19	suloctidil
C04AX20	buflomedil
C04AX21	naftidrofuryl
C04AX23	butalamine
C04AX24	visnadine
C04AX26	cetiedil
C04AX27	cinepazide
C04AX28	ifenprodil
C04AX30	azapetine
C04AX32	fasudil
C05	VASOPROTECTIVES
C05A	AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE
C05AA	Corticosteroids
C05AA01	hydrocortisone
C05AA04	prednisolone
C05AA05	betamethasone
C05AA06	fluorometholone
C05AA08	fluocortolone
C05AA09	dexamethasone
C05AA10	fluocinolone acetonide
C05AA11	fluocinonide
C05AA12	triamcinolone
C05AB	Antibiotics
C05AD	Local anesthetics
C05AD01	lidocaine
C05AD02	tetracaine
C05AD03	benzocaine
C05AD04	cinchocaine
C05AD05	procaine
C05AD06	oxetacaine
C05AD07	pramocaine
C05AE	Muscle relaxants
C05AE01	glyceryl trinitrate
C05AE02	isosorbide dinitrate
C05AX	Other agents for treatment of hemorrhoids and anal fissures for topical use
C05AX01	aluminium preparations
C05AX02	bismuth preparations, combinations
C05AX03	other preparations, combinations
C05AX04	zinc preparations
C05AX05	tribenoside
C05B	ANTIVARICOSE THERAPY
C05BA	Heparins or heparinoids for topical use
C05BA01	organo-heparinoid
C05BA02	sodium apolate
C05BA03	heparin
C05BA04	pentosan polysulfate sodium
C05BA51	heparinoid, combinations
C05BA53	heparin, combinations
C05BB	Sclerosing agents for local injection
C05BB01	monoethanolamine oleate
C05BB02	polidocanol
C05BB03	invert sugar
C05BB04	sodium tetradecyl sulfate
C05BB05	phenol
C05BB56	glucose, combinations
C05BX	Other sclerosing agents
C05BX01	calcium dobesilate
C05BX51	calcium dobesilate, combinations
C05C	CAPILLARY STABILIZING AGENTS
C05CA	Bioflavonoids
C05CA01	rutoside
C05CA02	monoxerutin
C05CA03	diosmin
C05CA04	troxerutin
C05CA05	hidrosmin
C05CA51	rutoside, combinations
C05CA53	diosmin, combinations
C05CA54	troxerutin, combinations
C05CX	Other capillary stabilizing agents
C05CX01	tribenoside
C05CX02	naftazone
C05CX03	Hippocastani semen
C07	BETA BLOCKING AGENTS
C07A	BETA BLOCKING AGENTS
C07AA	Beta blocking agents, non-selective
C07AA01	alprenolol
C07AA02	oxprenolol
C07AA03	pindolol
C07AA05	propranolol
C07AA06	timolol
C07AA07	sotalol
C07AA12	nadolol
C07AA14	mepindolol
C07AA15	carteolol
C07AA16	tertatolol
C07AA17	bopindolol
C07AA19	bupranolol
C07AA23	penbutolol
C07AA27	cloranolol
C07AA57	sotalol, combinations
C07AB	Beta blocking agents, selective
C07AB01	practolol
C07AB02	metoprolol
C07AB03	atenolol
C07AB04	acebutolol
C07AB05	betaxolol
C07AB06	bevantolol
C07AB07	bisoprolol
C07AB08	celiprolol
C07AB09	esmolol
C07AB10	epanolol
C07AB11	s-atenolol
C07AB12	nebivolol
C07AB13	talinolol
C07AB52	metoprolol, combinations
C07AB57	bisoprolol, combinations
C07AG	Alpha and beta blocking agents
C07AG01	labetalol
C07AG02	carvedilol
C07B	BETA BLOCKING AGENTS AND THIAZIDES
C07BA	Beta blocking agents, non-selective, and thiazides
C07BA02	oxprenolol and thiazides
C07BA05	propranolol and thiazides
C07BA06	timolol and thiazides
C07BA07	sotalol and thiazides
C07BA12	nadolol and thiazides
C07BA68	metipranolol and thiazides, combinations
C07BB	Beta blocking agents, selective, and thiazides
C07BB02	metoprolol and thiazides
C07BB03	atenolol and thiazides
C07BB04	acebutolol and thiazides
C07BB06	bevantolol and thiazides
C07BB07	bisoprolol and thiazides
C07BB12	nebivolol and thiazides
C07BB52	metoprolol and thiazides, combinations
C07BG	Alpha and beta blocking agents and thiazides
C07BG01	labetalol and thiazides
C07C	BETA BLOCKING AGENTS AND OTHER DIURETICS
C07CA	Beta blocking agents, non-selective, and other diuretics
C07CA02	oxprenolol and other diuretics
C07CA03	pindolol and other diuretics
C07CA17	bopindolol and other diuretics
C07CA23	penbutolol and other diuretics
C07CB	Beta blocking agents, selective, and other diuretics
C07CB02	metoprolol and other diuretics
C07CB03	atenolol and other diuretics
C07CB53	atenolol and other diuretics, combinations
C07CG	Alpha and beta blocking agents and other diuretics
C07CG01	labetalol and other diuretics
C07D	BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS
C07DA	Beta blocking agents, non-selective, thiazides and other diuretics
C07DA06	timolol, thiazides and other diuretics
C07DB	Beta blocking agents, selective, thiazides and other diuretics
C07DB01	atenolol, thiazides and other diuretics
C07E	BETA BLOCKING AGENTS AND VASODILATORS
C07EA	Beta blocking agents, non-selective, and vasodilators
C07EB	Beta blocking agents, selective, and vasodilators
C07F	BETA BLOCKING AGENTS AND OTHER ANTIHYPERTENSIVES
C07FA	Beta blocking agents, non-selective, and other antihypertensives
C07FA05	propranolol and other antihypertensives
C07FB	Beta blocking agents, selective, and other antihypertensives
C07FB02	metoprolol and other antihypertensives
C07FB03	atenolol and other antihypertensives
C07FB07	bisoprolol and other antihypertensives
C08	CALCIUM CHANNEL BLOCKERS
C08C	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS
C08CA	Dihydropyridine derivatives
C08CA01	amlodipine
C08CA02	felodipine
C08CA03	isradipine
C08CA04	nicardipine
C08CA05	nifedipine
C08CA06	nimodipine
C08CA07	nisoldipine
C08CA08	nitrendipine
C08CA09	lacidipine
C08CA10	nilvadipine
C08CA11	manidipine
C08CA12	barnidipine
C08CA13	lercanidipine
C08CA14	cilnidipine
C08CA15	benidipine
C08CA16	clevidipine
C08CA55	nifedipine, combinations
C08CX	Other selective calcium channel blockers with mainly vascular effects
C08CX01	mibefradil
C08D	SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS
C08DA	Phenylalkylamine derivatives
C08DA01	verapamil
C08DA02	gallopamil
C08DA51	verapamil, combinations
C08DB	Benzothiazepine derivatives
C08DB01	diltiazem
C08E	NON-SELECTIVE CALCIUM CHANNEL BLOCKERS
C08EA	Phenylalkylamine derivatives
C08EA01	fendiline
C08EA02	bepridil
C08EX	Other non-selective calcium channel blockers
C08EX01	lidoflazine
C08EX02	perhexiline
C08G	CALCIUM CHANNEL BLOCKERS AND DIURETICS
C08GA	Calcium channel blockers and diuretics
C08GA01	nifedipine and diuretics
C08GA02	amlodipine and diuretics
C09	AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09A	ACE INHIBITORS, PLAIN
C09AA	ACE inhibitors, plain
C09AA01	captopril
C09AA02	enalapril
C09AA03	lisinopril
C09AA04	perindopril
C09AA05	ramipril
C09AA06	quinapril
C09AA07	benazepril
C09AA08	cilazapril
C09AA09	fosinopril
C09AA10	trandolapril
C09AA11	spirapril
C09AA12	delapril
C09AA13	moexipril
C09AA14	temocapril
C09AA15	zofenopril
C09AA16	imidapril
C09B	ACE INHIBITORS, COMBINATIONS
C09BA	ACE inhibitors and diuretics
C09BA01	captopril and diuretics
C09BA02	enalapril and diuretics
C09BA03	lisinopril and diuretics
C09BA04	perindopril and diuretics
C09BA05	ramipril and diuretics
C09BA06	quinapril and diuretics
C09BA07	benazepril and diuretics
C09BA08	cilazapril and diuretics
C09BA09	fosinopril and diuretics
C09BA12	delapril and diuretics
C09BA13	moexipril and diuretics
C09BA15	zofenopril and diuretics
C09BB	ACE inhibitors and calcium channel blockers
C09BB02	enalapril and lercanidipine
C09BB03	lisinopril and amlodipine
C09BB04	perindopril and amlodipine
C09BB05	ramipril and felodipine
C09BB06	enalapril and nitrendipine
C09BB07	ramipril and amlodipine
C09BB10	trandolapril and verapamil
C09BB12	delapril and manidipine
C09BX	ACE inhibitors, other combinations
C09BX01	perindopril, amlodipine and indapamide
C09C	ANGIOTENSIN II ANTAGONISTS, PLAIN
C09CA	Angiotensin II antagonists, plain
C09CA01	losartan
C09CA02	eprosartan
C09CA03	valsartan
C09CA04	irbesartan
C09CA05	tasosartan
C09CA06	candesartan
C09CA07	telmisartan
C09CA08	olmesartan medoxomil
C09CA09	azilsartan medoxomil
C09D	ANGIOTENSIN II ANTAGONISTS, COMBINATIONS
C09DA	Angiotensin II antagonists and diuretics
C09DA01	losartan and diuretics
C09DA02	eprosartan and diuretics
C09DA03	valsartan and diuretics
C09DA04	irbesartan and diuretics
C09DA06	candesartan and diuretics
C09DA07	telmisartan and diuretics
C09DA08	olmesartan medoxomil and diuretics
C09DB	Angiotensin II antagonists and calcium channel blockers
C09DB01	valsartan and amlodipine
C09DB02	olmesartan medoxomil and amlodipine
C09DB04	telmisartan and amlodipine
C09DB05	irbesartan and amlodipine
C09DB06	losartan and amlodipine
C09DB07	candesartan and amlodipine
C09DX	Angiotensin II antagonists, other combinations
C09DX01	valsartan, amlodipine and hydrochlorothiazide
C09DX02	valsartan and aliskiren
C09DX03	olmesartan medoxomil, amlodipine and hydrochlorothiazide
C09X	OTHER AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09XA	Renin-inhibitors
C09XA01	remikiren
C09XA02	aliskiren
C09XA52	aliskiren and hydrochlorothiazide
C09XA53	aliskiren and amlodipine
C09XA54	aliskiren, amlodipine and hydrochlorothiazide
C10	LIPID MODIFYING AGENTS
C10A	LIPID MODIFYING AGENTS, PLAIN
C10AA	HMG CoA reductase inhibitors
C10AA01	simvastatin
C10AA02	lovastatin
C10AA03	pravastatin
C10AA04	fluvastatin
C10AA05	atorvastatin
C10AA06	cerivastatin
C10AA07	rosuvastatin
C10AA08	pitavastatin
C10AB	Fibrates
C10AB01	clofibrate
C10AB02	bezafibrate
C10AB03	aluminium clofibrate
C10AB04	gemfibrozil
C10AB05	fenofibrate
C10AB06	simfibrate
C10AB07	ronifibrate
C10AB08	ciprofibrate
C10AB09	etofibrate
C10AB10	clofibride
C10AB11	choline fenofibrate
C10AC	Bile acid sequestrants
C10AC01	colestyramine
C10AC02	colestipol
C10AC03	colextran
C10AC04	colesevelam
C10AD	Nicotinic acid and derivatives
C10AD01	niceritrol
C10AD02	nicotinic acid
C10AD03	nicofuranose
C10AD04	aluminium nicotinate
C10AD05	nicotinyl alcohol (pyridylcarbinol)
C10AD06	acipimox
C10AD52	nicotinic acid, combinations
C10AX	Other lipid modifying agents
C10AX01	dextrothyroxine
C10AX02	probucol
C10AX03	tiadenol
C10AX05	meglutol
C10AX06	omega-3-triglycerides incl. other esters and acids
C10AX07	magnesium pyridoxal 5-phosphate glutamate
C10AX08	policosanol
C10AX09	ezetimibe
C10AX10	alipogene tiparvovec
C10AX11	mipomersen
C10AX12	lomitapide
C10B	LIPID MODIFYING AGENTS, COMBINATIONS
C10BA	HMG CoA reductase inhibitors in combination with other lipid modifying agents
C10BA01	lovastatin and nicotinic acid
C10BA02	simvastatin and ezetimibe
C10BA03	pravastatin and fenofibrate
C10BA04	simvastatin and fenofibrate
C10BA05	atorvastatin and ezetimibe
C10BA06	rosuvastatin and ezetimibe
C10BX	HMG CoA reductase inhibitors, other combinations
C10BX01	simvastatin and acetylsalicylic acid
C10BX02	pravastatin and acetylsalicylic acid
C10BX03	atorvastatin and amlodipine
C10BX04	simvastatin, acetylsalicylic acid and ramipril
C10BX05	rosuvastatin and acetylsalicylic acid
D	DERMATOLOGICALS
D01	ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A	ANTIFUNGALS FOR TOPICAL USE
D01AA	Antibiotics
D01AA01	nystatin
D01AA02	natamycin
